Date, Open, High, Low, Close
09/28/23, 13043.37, 13270.97, 13025.11, 13201.28
09/27/23, 13115.36, 13156.37, 12963.16, 13092.85
09/26/23, 13180.96, 13199.13, 13033.40, 13063.61
09/25/23, 13172.54, 13277.83, 13132.00, 13271.32
09/22/23, 13287.17, 13353.22, 13200.64, 13211.81
09/21/23, 13328.06, 13362.23, 13222.56, 13223.98
09/20/23, 13710.26, 13727.81, 13467.28, 13469.13
09/19/23, 13649.44, 13705.15, 13578.87, 13678.19
09/18/23, 13669.95, 13751.28, 13663.45, 13710.24
09/15/23, 13889.20, 13895.75, 13684.25, 13708.33
09/14/23, 13889.76, 13957.57, 13810.66, 13926.05
09/13/23, 13773.67, 13868.57, 13733.82, 13813.59
09/12/23, 13858.94, 13913.60, 13763.69, 13773.61
09/11/23, 13884.03, 13937.47, 13805.13, 13917.89
09/08/23, 13754.71, 13843.37, 13733.18, 13761.53
09/07/23, 13675.11, 13774.64, 13642.47, 13748.83
09/06/23, 13988.81, 14001.95, 13802.42, 13872.47
09/05/23, 13994.54, 14060.85, 13945.65, 14020.95
09/01/23, 14129.96, 14149.62, 13982.42, 14031.81
08/31/23, 14041.54, 14114.67, 14010.48, 14034.97
08/30/23, 13961.77, 14050.82, 13924.20, 14019.31
08/29/23, 13687.23, 13959.81, 13677.06, 13943.76
08/28/23, 13695.36, 13735.98, 13626.64, 13705.13
08/25/23, 13514.37, 13633.42, 13376.34, 13590.65
08/24/23, 13834.31, 13834.68, 13462.84, 13463.97
08/23/23, 13532.43, 13757.00, 13532.43, 13721.03
08/22/23, 13593.94, 13598.76, 13484.38, 13505.87
08/21/23, 13347.26, 13516.86, 13325.59, 13497.59
08/18/23, 13190.02, 13335.87, 13161.76, 13290.78
08/17/23, 13527.30, 13535.09, 13303.44, 13316.93
08/16/23, 13593.17, 13644.32, 13473.03, 13474.63
08/15/23, 13760.48, 13774.98, 13611.93, 13631.05
08/14/23, 13599.00, 13789.16, 13582.49, 13788.33
08/11/23, 13633.65, 13720.33, 13609.98, 13644.85
08/10/23, 13818.25, 13947.16, 13686.51, 13737.99
08/09/23, 13897.61, 13898.53, 13698.39, 13722.02
08/08/23, 13875.45, 13899.74, 13769.34, 13884.32
08/07/23, 13972.45, 13997.15, 13864.92, 13994.40
08/04/23, 14025.96, 14119.22, 13897.93, 13909.24
08/03/23, 13899.76, 14032.28, 13881.35, 13959.72
08/02/23, 14132.73, 14133.85, 13914.81, 13973.45
08/01/23, 14274.93, 14309.21, 14215.64, 14283.91
07/31/23, 14337.90, 14370.91, 14292.75, 14346.02
07/28/23, 14199.83, 14344.35, 14188.10, 14316.66
07/27/23, 14319.16, 14360.20, 14006.92, 14050.11
07/26/23, 14123.52, 14187.35, 14041.95, 14127.28
07/25/23, 14093.24, 14201.91, 14092.52, 14144.56
07/24/23, 14081.63, 14110.15, 13997.13, 14058.87
07/21/23, 14148.17, 14179.01, 14020.45, 14032.81
07/20/23, 14273.29, 14309.92, 14030.63, 14063.31
07/19/23, 14398.53, 14446.55, 14317.09, 14358.02
07/18/23, 14212.25, 14396.69, 14176.11, 14353.64
07/17/23, 14149.92, 14274.41, 14138.01, 14244.95
07/14/23, 14166.66, 14232.11, 14081.96, 14113.70
07/13/23, 14021.15, 14163.81, 14012.24, 14138.57
07/12/23, 13915.64, 13963.45, 13842.13, 13918.96
07/11/23, 13709.82, 13774.83, 13643.32, 13760.70
07/10/23, 13645.37, 13692.41, 13584.87, 13685.48
07/07/23, 13668.07, 13804.51, 13656.74, 13660.72
07/06/23, 13653.17, 13689.52, 13567.25, 13679.04
07/05/23, 13772.10, 13844.50, 13764.25, 13791.65
07/03/23, 13798.70, 13839.09, 13773.41, 13816.77
06/30/23, 13719.98, 13816.67, 13716.16, 13787.92
06/29/23, 13592.36, 13618.53, 13540.26, 13591.33
06/28/23, 13506.02, 13654.14, 13495.73, 13591.75
06/27/23, 13389.25, 13578.80, 13366.97, 13555.67
06/26/23, 13468.75, 13573.57, 13334.42, 13335.78
06/23/23, 13484.10, 13572.19, 13442.65, 13492.52
06/22/23, 13443.41, 13631.85, 13441.56, 13630.61
06/21/23, 13620.87, 13638.57, 13460.94, 13502.20
06/20/23, 13642.30, 13711.18, 13561.84, 13667.29
06/16/23, 13859.07, 13864.06, 13680.95, 13689.57
06/15/23, 13572.88, 13828.17, 13561.37, 13782.82
06/14/23, 13570.56, 13661.74, 13455.99, 13626.48
06/13/23, 13566.52, 13594.40, 13473.19, 13573.32
06/12/23, 13326.37, 13465.91, 13302.58, 13461.92
06/09/23, 13312.40, 13385.95, 13229.33, 13259.14
06/08/23, 13113.27, 13248.60, 13101.18, 13238.52
06/07/23, 13295.26, 13361.90, 13089.48, 13104.89
06/06/23, 13199.59, 13306.20, 13165.65, 13276.42
06/05/23, 13238.48, 13330.65, 13194.95, 13229.43
06/02/23, 13190.48, 13256.21, 13125.86, 13240.77
06/01/23, 12944.46, 13141.83, 12903.63, 13100.98
05/31/23, 12968.38, 13029.08, 12889.37, 12935.29
05/30/23, 13109.10, 13154.29, 12968.12, 13017.43
05/26/23, 12736.42, 13001.91, 12729.74, 12975.69
05/25/23, 12706.44, 12736.92, 12604.89, 12698.09
05/24/23, 12481.90, 12529.63, 12415.85, 12484.16
05/23/23, 12652.88, 12709.74, 12554.43, 12560.25
05/22/23, 12664.44, 12756.23, 12655.26, 12720.78
05/19/23, 12709.46, 12731.73, 12624.06, 12657.90
05/18/23, 12513.87, 12698.50, 12512.26, 12688.84
05/17/23, 12388.58, 12514.07, 12335.02, 12500.57
05/16/23, 12327.05, 12403.81, 12324.52, 12343.05
05/15/23, 12301.17, 12376.40, 12263.35, 12365.21
05/12/23, 12350.52, 12364.65, 12209.58, 12284.74
05/11/23, 12321.26, 12347.38, 12255.44, 12328.51
05/10/23, 12286.66, 12337.69, 12180.86, 12306.44
05/09/23, 12195.78, 12216.13, 12174.06, 12179.55
05/08/23, 12231.68, 12264.99, 12178.26, 12256.92
05/05/23, 12073.03, 12264.83, 12065.72, 12235.41
05/04/23, 11997.34, 12033.15, 11925.37, 11966.40
05/03/23, 12097.04, 12212.56, 12022.46, 12025.33
05/02/23, 12198.02, 12206.58, 12015.23, 12080.51
05/01/23, 12210.05, 12261.32, 12181.08, 12212.60
04/28/23, 12117.54, 12227.72, 12082.57, 12226.58
04/27/23, 11972.15, 12154.01, 11950.92, 12142.24
04/26/23, 11913.23, 11967.99, 11833.07, 11854.35
04/25/23, 11968.81, 11990.46, 11798.77, 11799.16
04/24/23, 12053.47, 12103.58, 11960.31, 12037.20
04/21/23, 12046.03, 12097.15, 11986.82, 12072.46
04/20/23, 12039.08, 12155.96, 12011.95, 12059.56
04/19/23, 12063.68, 12191.10, 12060.17, 12157.23
04/18/23, 12234.56, 12245.43, 12110.23, 12153.41
04/17/23, 12108.23, 12159.02, 12064.10, 12157.72
04/14/23, 12117.91, 12205.72, 12026.55, 12123.47
04/13/23, 11997.42, 12178.80, 11995.94, 12166.27
04/12/23, 12110.87, 12134.50, 11916.54, 11929.34
04/11/23, 12080.24, 12091.27, 12011.40, 12031.88
04/10/23, 11975.14, 12084.94, 11924.20, 12084.36
04/06/23, 11939.08, 12098.50, 11898.36, 12087.96
04/05/23, 12081.76, 12086.75, 11931.84, 11996.86
04/04/23, 12208.49, 12224.68, 12081.81, 12126.33
04/03/23, 12146.09, 12196.34, 12086.52, 12189.45
